#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262354613996800,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354720315900,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354823294200,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262354944026100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355043958800,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355161567000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355268618400,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355373090300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355487052500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355595015700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355701844500,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355806182600,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262355918536100,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262356027439700,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262356142274000,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262356251927300,-0.109175,0.00100098,1.81402,0.999736,-0.0213626,0.00842149,0.000126683,0,0,-0,0,0,0,0,0,0
1680262356355101000,-0.109176,0.00100118,1.81425,0.999736,-0.0213666,0.00841904,0.000126931,-3.1178e-05,-0.000115746,0.00194171,0,0,0,0.00116108,0.00571323,0.0757068
1680262356466949900,-0.109182,0.000988787,1.81429,0.999736,-0.02138,0.00841958,0.000126788,-9.4161e-05,-0.000299505,-0.00206013,-0.00077148,0.00029829,-4.23884e-05,-0.00113068,-0.0058206,-0.0753086
1680262356571531300,-0.109191,0.000965402,1.81425,0.999736,-0.0213832,0.00841773,0.000127042,-8.55775e-05,-0.000285662,-0.0013987,0,0,0,0.00227941,0.0055955,0.130419
1680262356680612300,-0.109198,0.000922917,1.81418,0.999736,-0.0213629,0.00841911,0.000126634,-0.000112818,-0.000369382,-0.00304502,-0.000304377,0.000509524,-3.95067e-05,-0.002041,-0.0073547,-0.111985
1680262356795873200,-0.109197,0.000920014,1.8143,0.999736,-0.0213658,0.00842101,0.0001267,-3.09488e-05,-0.000137076,0.00194212,0,0,0,-0.0113456,-0.0298343,-0.677395
1680262356897021800,-0.109195,0.000910778,1.81442,0.999736,-0.0213768,0.00843169,0.000126487,-0.000107344,-0.000330342,-0.0027371,-0.000277153,0.000309818,1.32549e-05,-0.00904901,-0.023702,-0.537399
