#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1680262354158350900,0.000723363,-0.000617081,-0.00058801,0.149848,0.440672,-9.79491
1680262354166746500,-0.000151761,0.000862158,-0.000677205,0.20543,0.43666,-9.77254
1680262354174996700,-0.00105221,0.00126345,-0.000187987,0.163874,0.447411,-9.80341
1680262354183449600,0.00147058,0.000585119,0.000507536,0.201962,0.385215,-9.80802
1680262354191660900,0.000446541,-6.10583e-06,0.000701413,0.157019,0.430778,-9.82205
1680262354200084500,-0.000751305,0.00093698,-0.000586889,0.208241,0.431284,-9.82137
1680262354208327300,-0.000235415,0.000373251,0.00107074,0.0762344,0.4401,-9.82518
1680262354216754900,-0.000598528,-0.000639111,1.68997e-05,0.169499,0.409712,-9.73694
1680262354225194200,-0.000330416,-0.00145392,0.000212111,0.18164,0.466505,-9.8322
1680262354233499800,-0.00136315,-0.000853345,-0.000742187,0.173143,0.396832,-9.83586
1680262354241809900,0.00157226,0.00130413,0.000502845,0.177246,0.400367,-9.79789
1680262354252669400,0.00138394,0.000382144,-0.000403923,0.171085,0.430071,-9.78386
1680262354263805900,0.000596094,-0.000528087,0.000763444,0.183807,0.429205,-9.79718
1680262354273712300,-0.00176692,0.000131707,0.00138593,0.146264,0.418809,-9.81554
1680262354286430700,-0.00156978,-0.00121107,-4.29756e-05,0.148734,0.391616,-9.80526
1680262354297267400,-0.0017781,-0.000269763,0.00135564,0.159193,0.461389,-9.8198
1680262354306590400,-5.18092e-05,8.54577e-05,-0.000440943,0.152602,0.425424,-9.8021
1680262354318450800,-0.00127128,0.000264992,0.000139986,0.175863,0.449193,-9.78391
1680262354327345200,-0.00119685,0.000703205,0.000511359,0.219906,0.422098,-9.8015
